,날짜,리뷰,평점
15,2019.10.30 18:58,개연성 없는 스토리.. 난데없는 가출에 비는 계속 내리는 설정 날씨의 무녀는 갑툭튀.. 오글거림.. 단 영상미는 최고임. 결말은 그들만의 해피엔딩.,2
16,2019.10.31 10:14,호다카 얘기는 왜 1도 안보여줌? 그래서 얘가 왜 가출했고 집에 돌아가기 싫어하는 이유가 뭔데??,4
17,2019.10.30 12:02,나는 스가한테 감정이입 된다 마음속의 일렁임과 현실과의 타협 그 중간에서 요동치는 모습,10
18,2019.10.30 20:31,"개연성 부족,폐급 연출.영상미와 OST는 훌륭했으나 위 문제들 때문에 몰입하기 힘들었고 개인적으로 티켓 값도 아까웠던 영화.첫 번째로 '권총'이 이해가 안 됨.잔잔한 영화를 지루하지 않게 진행시키기 위...",4
19,2019.10.30 11:08,너의 이름은 만큼은 아니지만 재밌게 봤습니다 작화가 너무 이쁜듯합니다 나오는 노래도 좋았습니다.,8
20,2019.10.30 09:34,아 마지막장면 또 보고싶음 작화랑 ost는 절대 못까요 최고였음,10
21,2019.10.30 14:24,각본가를 따로 구해보는게 어떨지. 작화랑 OST는 최고지만 과하다. 몰래 온 손님은 반갑다.,4
22,2019.11.03 03:26,이영화는 집단(도쿄)응 위해 개인(히나)의 희생을 당연시하는 일본 전체주의를 비판하는 영화 입니다결말을 보시면 아시겠지만 결국 도쿄가 물에 잠기는 엔딩인데 감독은 근대부터 이뤄진 일본의 전체주의사상을 비판하는 메세지...,10
23,2019.10.30 10:04,"영상, 음악, 내용 너무나 좋은 영화 였습니다. 괜찮아. 위로의말이 계속 남아요",10
24,2019.10.30 16:53,진짜 어거지 급전개가 너무 심각하고 결말은 엉성하다. 영상미랑 OST만 보고 고평가하기엔 내용이 너무 부실하다,2
25,2019.10.30 18:54,발전된 기술. 퇴보한 감성.,6
26,2019.10.30 15:15,호다카가 계단 올라갈 때 OST 갑자기 커지는 순간 너의 이름은 엔딩처럼 전율 돋음 ㄹㅇ;,10
27,2019.10.30 09:24,"신카이마코토 전작을 다 훑어봤다면 이번 날씨의 아이 작화는 진짜 한계를 뛰어넘은듯한 느낌입니다. 본격 힐링영화라는 말은 당연하구요. 두번정돈 더 보러갈 예정입니다! 스토리면에서는 확실히 너의이름은이 더 탄탄하긴 한데 저는 후반부는 오히려 날씨의아이가 더 좋았어요. 이건 호불호가 확실히 갈릴것 같구요. 주인공캐릭터도 저는 너의이름은보다 더 예쁘고 잘생긴것 같네요! 성우진 연기도 더 좋았구요~ 중간중간 웃음요소들이 있어 재미있게 봤어요~ 반가운 얼굴들도 등장하구요! Ost는 역시 이번에도 좋지만 확실히 임팩트는 너의이름은 보단 약한 면이 있는것 같아요. 하지만 어차피 귀에 맴도는건 둘다 똑같습니다. 자꾸 너의이름은이랑 비교를 하게 되는데 비슷한 요소들이 많아서 보다보면 비교를 할수 밖엔 없는것 같아요! 작화느낌은 전체적으로 언어의 정원때를 떠올리게 만드는데, 날씨가 둘다 비가 중점이라 그렇게 느껴졌던 것 같습니다! 확실히 신카이 마코토 작품은 애니를 애니로만 끝내는것보단 뭔가 희망의 메세지라던가 무거운 현실들을 많이 담고 있어서 끝나면 여운이 많이 남는 영화인것 같아요! ",10
28,2019.10.30 10:44,색감이 너무나 아름다워 스크린에서 눈을 뗄 수 없었음..ㅠㅠ,10
29,2019.10.30 19:09,"솔직히 재미가 없진 않은데  보면서 너의 이름은 보다 스토리,개연성,떡밥 회수 가 너무 떨어져서 보는 내가 다 민망 했음.그림체,OST는 진화했지만 그밖의 중요 요소는 퇴보...솔직히 이번엔 박평식 평점에 공감",6
30,2019.10.30 22:29,이 맛에 애니메이션 보는거지. 애니메이션은 상상력이고 한계가 없어야 한다고 생각함. 현실 드라마같기만 한 애니메이션이 대체 무슨 매력일까? 작가 특유의 감성도 돋보였고 거기에 어우러진 음악도 최고였다. 어릴때 만화 재밌게 봤던 느낌이 생각나서 너무 즐거웠음. ,10
31,2019.10.30 20:26,스토리를 발로쓴건가 진짜 총기 액션인지 판타지인지 일본식 변태물인지 작화는 레전드,5
32,2019.10.30 21:39,감동적이고 좋은데 중간중간 계속 나오는 여캐몸이나 속옷 같은건 왜 계속 부각하는건지 모르겠어요ㅠ 재밌게 보다가도 중간중간 흐름 깬다고해야하나 그래서 1점 깎았엉,8
33,2019.10.31 13:25,"메시지가 괜찮았음. 총이 뭐긴.. 맥거핀이지ㅋㅋㅋ 굳이 총에 의미 부여 하자면 가출과 마찬가지로 자유를 상징하겠지요. 그리고 떡밥회수 운운하는 분들은 영화를 헛 보신 것. 제가 생각하는 영화의 주제는 이렇습니다. [신비주의 스토리나 거대한 음모따위의 소위 &#39;떡밥&#39;은 신경도 쓰지 말고 오로지 자신의 뜻대로 나아가라. 자신의 사랑을 해라. 찝찝해 하지 말고, 세상과 어른에 대한 과도한 부채감을 버려라. 어른들이 싸지른 떡밥을 네가 회수할 책임은 없다. 왜냐, &#34;세상은 원래부터 미쳐있었으니까!&#34;] ",10
34,2019.10.30 17:45,이제 평생 비가 와도 괜찮다,10
35,2019.10.30 23:18,남주가 초반에 조금만 정조준했으면 애니판 조커 볼뻔,9
36,2019.10.30 21:25,폭풍우가 휩쓸고 간 개연성,2
37,2019.11.02 16:27,연고도 없는 놈 재워주고 먹여줘도 돌아오는건 총구뿐이여,6
38,2019.10.30 21:50,믿고보는 감독인듯 스토리는 전형적인 일본 애니메이션이라 몰입이 안될뻔 했는데 영상미가 너무 좋아서 몰입하게 만드네여 한번 더 볼 예정입니다.,10
39,2019.10.30 11:23,비로 가득한 세상을 맑게 해주었던 소녀와 소년이 보여준 순수함은 개봉 전 기대했던 그 이상의 감동을 선사했다. 정말 오랫동안 여운이 남을 명작이다.,10
40,2019.10.30 23:34,"나름 재밌긴 했지만, 자신이 이야기의 개연성을 많이 따지는 타입이라면 안 보는 것을 추천한다. 특히 경찰서에서 탈주하는 부분부터는 주인공의 뒷감당 생각 안 하는 총기 위협이라던가, 너무 편의주의적으로 튀어나와서 범죄...",7
41,2019.10.30 14:23,떡밥회수 몇개빼고는 진짜 최고였다 너의이름은 아련하고 누군가를 찾게된다면 이거는 기분이 좋아지는 영화,10
42,2019.10.30 20:46,너의 이름은때의 그 감동과 여운이 없어 아쉬웠다 전작이 워낙 명작이어서 기대를 너무 하고 본것같다,6
43,2019.11.06 21:14,"개연성이 없다고들하는데 어떤게 개연성이없는건지요?한국영화에 너무익숙해진게 아닌가요? 남주가 왜집을 나갔는지에 대한 이유가 꼭 있어야하나요 그영화에서 그이유가 필요한 이유는 무엇인가요 그리고 스토리를까는이유는 왜인가요? 날씨와 하늘에 관한거라서?그럼 한국영화처럼 정치 돈 싸움 연인간의사랑이야기만 다루어야 영화인가요구지 불필요한것들 다루지 않고 보여주고싶은것들을 충분히 스토리짜임새있게 만들었다고 봅니다 권총이요??남주가 히나 처음만난날 그장소에 버렸던건데 그게 왜튀어나온건지 모르겠다는분들은 영화를 제대로 보시고 말씀하는것인지.. 판타지애니메이션인만큼 개인적으로 소재가 좋았다고 생각합니다 그리고 비를 현시대에 비유한것으로 받아들여졌고 대사들 또한 지금의 우리 현실을 반영한듯한 대사들이 있었어요 특히 남주가 마지막에 한말..우린 괜찮을거야 라는 대사는  손을 마주잡은 그둘에게 얘기하는것은 물론, ost가사를 보면 알수있듯이 그리고 스가라는인물,엄마를 잃은 아이들,, 현시대를 살아가는 어쩌면 힘든 삶을 살아가고있을 우리 모두에게남기는 메세지로 받아들여졌어요 ",10
44,2019.10.30 22:09,도쿄 사람들이 나쁜짓 해서 물바다가 되었군요ㅜㅜ,10
45,2019.10.30 19:21,"전 작품인 '너의 이름은' 에 비해 스토리 구성이 매우 단순하고 개연성도 부족하고, 여러가지로 기대에 비해 많이 부족해서 실망함. 비추임.",4
46,2019.10.30 12:08,한번 더 보러 갈예정 영상미 좋고 음악좋고 마지막엔 울었다 마코토 감독은 천재임,10
47,2019.10.31 11:19,너의 이름은 생각하고 보면 상당히 실망할 수 있음.,4
48,2019.10.30 11:28,"비가 오는 날, 당신을 만났기에 나는 비오는 날이 좋다.",10
49,2019.10.30 20:22,떡밥 회수가 너무 안됨 . 그냥 영상미 ost 로 보는 것 같다,6
50,2019.11.04 02:57,고양이가 몇 년 뒤 갑자기  통통해져서 웃음터짐ㅋㅋㅋㅋ,10
51,2019.10.30 22:34,'너의 이름은'은 사고를 막기위한 개연성이라도 있는데 이건 뭐 갑자기 신내림 같은걸 받지 않나 남주는 총을 어떻게 주워서 쏘질 않나개인적으로 너의 이름은에 비해서는 별로 재미 없었습니다,7
52,2019.10.30 21:28,인물묘사가 좋아질 수록 작품의 감동이 줄어드는 이유는 무엇인가. 마이너한 감성으로 메이져가 된 신카이마코토는 이 영화에서 갈피를 잡지 못하고 헤멘다. &lt;강남스타일&gt;을 대박친 싸이의 &lt;젠틀맨&gt;이 그랬듯이 본인의 진가를 잘 발휘하지 못했다. 그동안 싸구려 포크송 OST 마저도 잔잔한 감동으로 들릴만큼 현실적인 작화와 주인공 생활 범위 내에서 펼쳐지는 어두운 상황 속 인간의 따뜻한 마음을 잘 표현했던 과거와 달리 &lt;너의 이름은&gt; 같은 추상적인 묘사에 있어서 그간에 보여주던 진면목이 점차 사라지는 것 같은 아쉬움이 있다. 더불어 &lt;너의 이름은&gt;의 &#39;무스비&#39;나 &#39;발효주&#39; 설명이 스토리를 이끌어가는 복선역할을 했지만 &lt;날씨의 아이&gt;에서는 필연적인 비극을 암시하는 구닥다리 샤머니즘에 그치며 주인공 남녀를 제외한 모든 주변인물들을 허수아비로 만들었다. 주인공들의 과거와 성격마저도 설명이 부족한 것이 많다. 허접한 포크송 OST도 이제는 버려야 할 시기가 온 듯하다. 기대가 컸던 만큼이나 아쉬움이 많이 남는 작품이며 앞으로 신카이마코토의 행보가 더욱이나 궁금해지는 그런 영화다. ,5
53,2019.11.01 21:29,"스토리에 개연성이 모자란거 같다고 많은 분들이 말하지만 솔직히 나는 그런거 못느끼고 잘봤음. 신카이 마코토가 전하고자 하는 메세지도 영화 속 심볼을 알고만 있다면 금방 이해 할 수 있을만큼 직접적으로 표현하고 있고, 영화의 전체 내용을 꿰뚫는 &#39;집단을 위한 개인의 희생은 옳은가&#39;에 대한 내용도 모자람없이 표현했다고 생각함. 보고 나서 감동, 슬픔, 안도 등 굉장히 많은 감정이 몰려왔는데 정말 울고싶은데 마냥 눈물이 나지 않고 마음에 감정이 응어리져 있어서 무언가 벅찼던 영화였음. 뭐 빛의 마술사라는 호칭이 아깝지 않을만큼의 영상미와 듣는 순간 소름이 끼치는 ost도 또하나의 보는재미거리라고 생각함. 다만 나는 그 모든것들을 아울러서 영화자체가 그냥 좋았음 앞으로 내가 하는 선택에 영향을 줄만큼의 큰 터닝포인트가 될만한 영화임. ",10
54,2019.11.19 03:14,감정선이 굉장히 뛰어났습니다.,10
55,2019.11.02 15:32,영상미는 최고였다..하지만 스토리 몰입이 안되었다...가장 이해가 안되는점은 왜 남주가 가출 한 이유가 나오지 않았다.,4
56,2019.10.30 11:03,"사춘기들이 만들어내는, 조금 서툴어도 너무나 뜨겁고 열정적인 사랑과 압도적인 연출이 만들어내는 <그랜드 이스케이프> ㅡ 나도 이런 사랑을 해볼 수 있을까..?",9
57,2019.11.09 01:59,영상미도 훌륭하고 여운이 많이 남는 좋은 작품이었습니다~ :)잔잔한 감동과 후반부의 전율은 이루 말할 수가 없네요^^,10
58,2019.11.04 12:58,이시국 드립 하는사람들 별점테러가 심하긴 하구나 솔직히 신카이마코토 작품은 작화 스토리 ost 가 좋고 타키와 미츠하가 안나왔으면 스토리쪽에선 더 좋았을거임한국팬이 타키와 미츠하를 출연시켜 달라해서 약간 엇나간거 같...,10
59,2019.10.30 14:41,"너의이름은처럼 클라이맥스로 달려가는 집중성과 그에 따른 감정의 진폭은 작았지만, 매력적인 도쿄의 모습과 사랑스럽고 애절한 캐릭터.",8
60,2019.11.04 00:43,남주가 가출한 이유는 가정폭력 때문이라고 하네요영화 인물관계도와 소설판 보면 나와있어요. 영화에서 반창고를 붙이고 상처가 있는 남주 모습에서 알 수 있습니다. 영화에서 간접적으로만 나온 이유는 남주가 행동하는 이유가 트라우마가 아닌 동경으로 보이기 위해서였다고 하네요. 하지만 영화에서 알아채지 못할 정도였기에 좀 더 알려줬으면 개연성 면에서 더 낫지 않았을까 싶네요 ㅠ가출 이유 궁금해 하신 분들 많던데 많은 분들 보실 수 있게 올려주세요! ,8
61,2019.10.31 19:45,작화에만 몰빵... 걍 몰빵... 감독님 담 작품 극본은 걍 다른사람맡기세요...,6
62,2019.11.28 00:02,맑음소녀 알바구합니다.,10
63,2019.11.02 14:08,"다른걸 다 떠나 제일 열받는건 자기도 서사와 스토리를 이끌어가는 힘이 약하다는걸 인지해놓고서 여태 나온 작품중에 가장 최악으로 만들었다는것에 화가난다. 그래서, 그 아이가 떠오르고 추락하는 그 장면을 위해 영화를 그...",3
64,2019.10.30 12:41,오늘아침에 조조영화로 바로 보고 왔습니다 솔직한 평은 &#34;너의 이름은&#34;이라는 작품을 기대하고 가신다면 실망하실수도 있습니다 그 이유는 위의 전작에 비해서 반전인 요소도 없으며 결말또한 깔끔하게 끝났다고 하기에는 사건의 심각성과 그 위기를 해결했을때의 스토리 진행요소가 다소 부족합니다 그렇기에 &#34;너의 이름은&#34;과 같은 스토리 라인을 기대하셨다면 먼가 부족한게 느껴지실수 있습니다 하지만 그것과는 별개로 작품내의 영상미와 ost와 이어지는 하이라이트 연출신등의 보는 재미는 따로 존재합니다 또한 작품안의 의미도 소소하게 담겨있어 충분히 볼만한 영화라고 생각합니다. ,10
65,2019.10.30 09:21,예고편 공개되고 기대되서 미치는줄알았습니다. 킹시국때문에 개봉도 연기되고 우여곡절 많았지만 신카이마코토 감독의 팬으로써 영화가 한국에서 너의 이름은 만큼이나 사랑받았으면 좋겠습니다. 많은 사람들이 영화를 보고 일본에 대한 악감정은 잊고 화해와 공존의 길을 희망하길... ,10
66,2019.11.27 19:49,몰ㄹ ㅏ난 좋앗어 내가 좋앗ㄴ다는데 니네가 어쩔겨,10
67,2019.11.01 14:36,"기대보다 심하게 별로였다. 일본영화 특유의 오바는 알지만, 남자주인공 오바가 너무 심해서 몰입이 깨진다. 감동포인트와 줄거리, 개연성이 &#39;너의 이름은&#34;이랑 비교했을 때 많이 부족하다. 영화가 전체적으로 뭘 말하려는건지 흐름이 없고, 산만한 느낌이다. ",5
68,2019.10.31 00:04,중2병 걸린 애들이 설치는 고구마 100개먹은 스토리영상미만 이쁨.,4
69,2019.10.30 22:57,영상미 최고임.불꽃 놀이 표현이랑 특히 비 갠뒤 하늘 표현이 진짜 멋있음.ost정말 좋음근데 스토리 구성이 매우 이상함.가출하고 그 원인도 안나오고 총 쏘고 경찰 뿌리치고 오토바이 타는 씬은 진짜 충격임.노래도 좀 ...,5
70,2019.11.25 21:42,"좋다, 분명 영화안에 모든 복선이 있고 확인가능한건 사실이지만 솔직히 처음 보는 사람에겐 상당히 불친절한 영화는 맞다. 너무 많은 메세지가 담겨 있으니깐, 관객이 그걸 따라가지를 못한다. 첫회차때 개연성이 왜이러지?...",10
71,2019.11.02 15:52,"애니메이션 유튜버들의 혹평을 보고&#39;너의 이름은&#39;이 걸작이어서다음 차기작인 날씨의 아이가 묻히는 건가 싶어직접 확인하려고 보러갔습니다.신카이 마코토 감독의 여타 애니메이션처럼영상미는 훌륭했으나,스토리, 개연성, ost 모두 &#39;너의 이름은&#39;에 비해 심하게 뒤쳐졌습니다.언급한 많은 단점들이 영상미가 뛰어나다는장점을 생각나지않게 만들었고신카이 마코토 작품 특유의 결말의 여운도 존재하지 않았습니다..추천하고싶은 작품이 아닙니다.통신사 할인 끼고 봤는데도 돈 아까워요. ",2
72,2019.11.03 17:33,"주제의식이 뭔지보다도 그걸 풀어내는 방식이 너무 서툴렀음. 세상이 원래 &#39;미쳐있었다, 희생이 강요된다는 얘기를 하기엔 작중에서 드러나는 억압이 별 게 없음.총기소지한 가출청소년을 찾아서 집 보내려는 건 &#39;너무 당연한 건데, 당신들이 뭘 아냐면서 화내는 &#39;주인공의 모습은 너무 황당함; 이게 뭔 얘길 하고 싶은 건지도 퇴색되어버림..선택의 딜레마나 강요와 억압 속에서의 &#39;극복의지가 드러나는 것도 아니고, 모든 인물의 행동은 변덕스럽고 결말에선 &#34;아무튼 우린 괜찮을거야!!&#34; 하는 건 진짜.. 허탈한 웃음밖에 안나왔음 그래도 영상미와 ost에서오는 감동은 좋았음 ",6
73,2019.10.30 09:59,개봉한다고 OOO들 하지말고 너네만 보지마라,10
74,2019.11.02 14:31,전작에선 마을 하나를 박살내고 본작에선 도쿄를 침수시키는데 다음 작품 주인공들은 일본 멸망이라도 시키려는 것일까 흥미진진해진다.,7
75,2019.11.02 12:05,작화랑 노래가 괜찮다고들 하니까 괜찮겠지 싶어서 봤는데 스토리가 다 말아먹습니다. 주인공들이 민폐란 민폐는 다 끼쳐놓고 세상은 미쳐있어! 우리한테 왜 이러는거야 엉엉! 하면서 자기연민에 빠져 있는 게 내용의 전부입니다. ,1
76,2019.10.30 23:06,억지도 이런 억지가.. 아무리 몰입하려고 해도 스토리 개연성이 너무 없습니다. 후반부엔 감정이입 하나도 못하고 있는데 갑자기 캐릭터들은 울면서 소리치고 있으니까 어이가 없더군요..영상미랑 노래가 다 아깝습니다.. 그냥 미술관 간다고 생각하고 그림만 보세요 그림은 참 이쁘더라고요. ,2
77,2019.11.02 00:15,안 좋은 후기들을 보고 기대가 낮아져서 그런지 꽤 괜찮았다. 그 중 엔딩이 별로라는 말이 많았는데 개인적으로 마지막 15분이 제일 마음에 들었다. 그리고 뜻밖의 메세지 또한 좋았다.인류의 행복을 위해서 단 한 명의 ...,8
78,2019.10.30 15:58,"평이 갈리지만 나는 여태 신카이 마코토는 영상미,ost 정도로 봤다. 스토리는 약간 부족하지않나 생각했는데 이번 작품은 극장에서 봐서 그런가. 울컥하는 장면도 많고 너무 예쁘더라 금년 최고의 영화!",10
79,2019.10.31 00:34,전작인 너의 이름은 기대하고 갔는데 완전 실망했다. 황당한 내용 전개에 미완결 같은 엔딩까지... 내용 마무리가 하나도 안되어서 설마 이게 끝이 아닐거야 싶었는데 엔딩 크레딧 올라갔다.영상이 예뻐서 별 두개. ost에 신경을 많이 쓴것 같은데 너의 이름은에 비하면 별로이다. ,4
80,2019.10.30 22:40,개연성 zero... 정말 작화밖에 없다. 어디서 본 것 같은 성의없는캐디  최근 수해 이슈에 대해서도 거의 기만인 작품.,2
81,2019.10.31 00:30,1.영화가 시작된 지 30분.. 싸늘한 예감은 틀리지 않는다. 가장 빨리 탈출하는 자가 승자2.소녀가 기도할때마다 나도 기도했다.3.손발이 요새 너무 꼿꼿했다면 오그라들기에 안성맞춤4.유튜브 편집자를 한 것 같은 편집감5.뜬금포로 울어대는 캐릭터들과 o.s.t 남발.6.어떠한 작화도 서사를 이길 수 없다.  7.판타지가 문제가 아니다. 감정과잉이 문제 ,4
82,2019.11.10 12:42,두번째보니까 감동이두배..,10
83,2019.11.03 23:16,너의 이름은 남자 주인공과 여자 주인공이 도대체 왜 사랑에 빠지는지 도통 이해가 안되서 스토리에 집중이 안됬다. 날씨의 아이는 왜 이 둘이 사랑에 빠지는 지 이해가 되었다. 물론 스토리에 개연성과 이상한 점은 있었다...,7
84,2019.11.10 14:21,누가 재미 없다고 했나!? 시간 가는 줄 모르고 관람함. 추천합니다.,10
85,2019.10.30 22:09,너의이름은이 엄청난 대작이였음을 알수있는 영화하지만 어느새 내눈엔 눈물이..,9
86,2019.10.30 20:38,"(좋았던 점)1. 영상미,연출,  빛과 물방울에 대한 작화, 그에 맞는 음악 선율과 OST는 좋았습니다.2. 비 오는 날 다양한 구도를 통해서 비가 내리는 방식을 표현함 (좋지 않았던 점)1. 스토리의 각본(진행), 떡밥을 주고 회수하는 점, 감정의 기승전결이 서서히 올라가지 않고 조금의 설명을 주고 기결만있는점2. 전작 &#39;너의 이름은&#39; 남녀 주인공의 영혼이 뒤바껴서 받아들여지는 남녀 신체부위의 농담을 &#39;날씨의 아이&#39;에서는 남자의 시선으로만 여자의 신체부위를 언급하며 씬을 보여줌. 일본의 청소년 인권과 여성의 시각에 불편함을 느끼게 할 수 있음. ",5
87,2019.11.05 23:00,첫번째 베댓이 너무 테러를 해놨네요... 물론 어떤 영화든 호불호가 갈릴 순 있지만 졸작까지라고 할만 한 스토리와 개연성은 결코 아니라고 생각합니다. 비가 주구장창 내리는건 영화 내에서 분명 설명하고 있구요.(애초에...,10
88,2019.10.30 18:15,뭐여... 일본인들은 별로라고하고... 한국인들은 재미있다고 하고...,5
89,2019.11.26 02:07,노래랑 그림채 진짜 내가제일사랑하는 거 인정 어인저우ㅜ,10
90,2019.11.24 21:52,래드윔프스가 ost하나는 진짜 잘만듬,10
91,2019.11.10 18:00,스토리따위 계속 미쳐있어도 돼!,2
92,2019.10.30 17:26,기대가 너무 높았던 것도 있지만 그냥 봐도 실망 스러웠을거 같다. 영상미가 좋은 건 인정하지만 스토리는 개연성이 없으며  감정이 북받쳐야 할 장면들이 다소 억지스러운 연출들로 이루어져 있어서 한국의 신파 영화를 보는 듯한 기분이 잠시나마 들었고 그러한 연출들 때문에 좋은 ost 마저 뜬끔없는 타이밍에 들려와 거슬렸다. ,4
93,2019.10.30 19:42,영상미는 완전 좋았고 오에스티도 조았는데여 스토리가 너무 너의이름은 짜가리같앗고 감동도업고여 내용이 좀 이해가앙가네여,6
94,2019.10.30 22:50,"그림체, 자연묘사 등은 정말 뛰어나나 스토리 개연성 등 최악이었습니다. 너의이름은과 대조되는.... 엔딩마저도 최악너무 아쉬웠습니다.",2
95,2019.11.29 08:30,"묘하게 10대보다 20대~30대가 공감할게 많은영화. 전작은 스토리에 압도되서 봤는데, 이번작은 처음 봤을때 스토리가 부자연스러울정도로 개연성이 없다고 생각했음. 나중에 보니 배경이나 설정에 깔린 일본문화를 어느정도...",10
96,2019.11.03 23:27,귀호강 이랑 눈호강은 확실히 시켜준 영화,10
97,2019.11.01 06:58,"정말 좋아하는 감독인데, 이번에는 이쁘고 아름다운 쓰레기를 만들었다. 개연성 스토리 복선 의미 등등 아무것도 없었다. 영상미 ost뿐",6
98,2020.03.22 11:46,신카이 마코토는 일본에서 몇없는 친한파 감독입니다 샤이니 종현 사망소식에 애도를뜻했고 세월호 사건터지고 같이슬퍼했습니다 너의이름은 영화에 세월호사건때처럼 윗사람이 재난에도 움직이지말고 가만히있어라 등 여러가지로 표현했습니다 게다가 이번 날씨의아이 주인공 성우도 봉오동전투에서 일본의제국주의를 비판한 일본배우를 캐스팅했습니다(이 배우는 일본에서 매국노라고 많은 욕을 먹었죠)그니까 매국노 영화라고 하지만 말고 그럴거면 걍 집에서 혼자만 불매하길 ,9
99,2019.11.06 14:27,최고의 작품. 클라이맥스는 감동 그자체,10
100,2019.11.01 01:45,다수를 위해 여자 희생 구하는 남자 어디서본듯한 클리셰에 키미노나와기대하고 갓다가 민망 시계 쳐다보다가 나왓네,1
101,2019.11.03 15:40,개연성 1도 없고 남주는 답답하고  ..,6
102,2019.11.09 10:34,모든 것을 다 내줄 수 있을 정도로 좋아하는 게 있다는 것이 정말 부럽다.,10
103,2019.11.09 00:31,사랑이 할 수 있는 일은 아직 많다,10
104,2019.11.09 02:12,진짜 너의이름은 다음으로 인생영화..,10
105,2019.11.01 20:27,영상이 이뻐서 좋았습니다.,10
106,2019.11.25 15:53,보는 내내 울컥했다.나도 이런 작품 한번 만들어보고 싶다는 생각이 들었다.,10
107,2019.11.09 00:36,"영화도 보고 여러 유튜버, 평론가의 리뷰도 봤고 실망했다는 유튜버가 하는말들에 어느정도 동의는 한다.그런데 그냥 좋다. 영화의 장점이 별5개로 표현하기 힘들정도로 뚫고 나온다.",10
108,2019.11.05 16:17,"정말 기대하고 봤으나 실망이 컸습니다. 작화나 연출은 좋았지만 스토리의 구성이 너무 허접했습니다. 영화관에서 영상미에 감탄을 하며 보다가 &#39;굳이 왜?&#39; 하는 장면들이 많았습니다. 특히 총이나 하늘의 세계에 대한 부분이 많이 아쉬웠습니다. 총이 반드시 등장했어야만 하는지, 영화 중간 중간 떨어져있는 물고기들은 왜 떨어져 있는지, 너무 설명이 부족했습니다. 게다가 주인공이 가출을 한 설정인데 가출을 하게 된 계기도 너무 막연했습니다. 부모님의 압박과 같은 것이 있는줄 알았으나 전혀 없었고 오히려 범죄를 저지른 아들을 고등학교 졸업때까지 보살펴주셨습니다. 이런 점들이 도무지 이해가 가지 않았습니다. 따라서 영상미로 인해 단순히 동영상으로는 좋은 작품이지만 시나리오가 첨가된 영화로는 상당히 아쉬운 작품인것 같습니다. 다음 작품에서는 좀 더 개연성있는 스토리가 나왔으면 좋겠습니다. ",3
109,2019.11.19 08:00,이시국 때문에 안보시는 분들 진짜 후회하실거임 ㅋㅋㅋ블루레이 나오고 집에서 시청중이면 분명 극장에서 볼걸 땅치고 후회할듯 ㅋㅋㅋㅋ 진짜 눈딱감고 보러가세요.눈물납니다 진짜로 ;^;,10
110,2019.11.06 16:29,"영화의 설정, 주제, 세계관, 음악, 대사, 작화 다 최고다... 극장에서 세번 봤다.",10
111,2019.11.09 03:31,3번째 관람했음.. 개인적으로 너의이름은 그 이상,10
112,2019.10.31 16:09,감독이야기를 듣고 보면 어느정도알수 있겠으나 그냥 영화관서 그전영화만 생각하고 보신분들은 실망하실수도 있겠다,6
